Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,MeHg_mean_ppb
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,45.37839476
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,82.49401194
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,269.7855435
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,53.84205078
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,82.49401194
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,37.6883488
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,45.37839476
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,82.49401194
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,269.7855435
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,53.84205078
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,82.49401194
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,37.6883488
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,45.37839476
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,82.49401194
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,269.7855435
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,53.84205078
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,82.49401194
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,37.6883488
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,45.37839476
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,82.49401194
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,38.17555048
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,21.67828615
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,36.99288998
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,25.71504047
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,88.95830585
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,80.85270266
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,17.00548332
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,77.34070678
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,63.37893621
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,12.80410084
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,111.3422177
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,72.08800932
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,16.68006868
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,98.52054
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,94.26451858
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,13.76829873
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,60.59995603
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,41.70407087
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,19.29029775
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.001184881
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.000773346
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.002028272
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.002457246
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,193.6529374
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,82.49401194
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,53.84205078
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,75.27617142
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,141.212735
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,19.18115242
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,216.3588659
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,4.924137878
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.625646677
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,13.17866334
